"htscsecurityid","mddate","mdtime","event_ts","local_recv_ts","orderindex","orderno","ordertype","orderbsflag","orderprice","orderqty","tradedqty","applseqnum","channelno","securitystatus"
"000010.SZ",20260123,91500050,"2026-01-23 09:15:00.050","2026-01-23 09:15:00.876718739",2740,0,2,2,4.05,100,0,2740,2014,"2"
"000010.SZ",20260123,91500050,"2026-01-23 09:15:00.050","2026-01-23 09:15:00.914969478",2870,0,2,2,3.75,5000,0,2870,2014,"2"
"000010.SZ",20260123,91500070,"2026-01-23 09:15:00.070","2026-01-23 09:15:02.979723545",10820,0,2,1,3.68,300,0,10820,2014,"2"
"000010.SZ",20260123,91500070,"2026-01-23 09:15:00.070","2026-01-23 09:15:03.504056708",12944,0,2,1,3.6,2000,0,12944,2014,"2"
"000010.SZ",20260123,91500080,"2026-01-23 09:15:00.080","2026-01-23 09:15:03.949387272",14756,0,2,2,3.72,2500,0,14756,2014,"2"
"000010.SZ",20260123,91500080,"2026-01-23 09:15:00.080","2026-01-23 09:15:03.998243813",14950,0,2,2,3.78,2500,0,14950,2014,"2"
"000010.SZ",20260123,91500080,"2026-01-23 09:15:00.080","2026-01-23 09:15:04.054032182",15174,0,2,1,3.64,300,0,15174,2014,"2"
"000010.SZ",20260123,91500080,"2026-01-23 09:15:00.080","2026-01-23 09:15:04.506607482",17011,0,2,2,3.71,5000,0,17011,2014,"2"
"000010.SZ",20260123,91500080,"2026-01-23 09:15:00.080","2026-01-23 09:15:04.506668814",17012,0,2,2,3.76,5000,0,17012,2014,"2"
"000010.SZ",20260123,91500080,"2026-01-23 09:15:00.080","2026-01-23 09:15:04.506792607",17013,0,2,2,3.81,5000,0,17013,2014,"2"
"000010.SZ",20260123,91500090,"2026-01-23 09:15:00.090","2026-01-23 09:15:04.599439106",17389,0,2,1,3.34,1000,0,17389,2014,"2"
"000010.SZ",20260123,91500100,"2026-01-23 09:15:00.100","2026-01-23 09:15:05.655767561",21663,0,2,2,3.89,900,0,21663,2014,"2"
"000010.SZ",20260123,91500120,"2026-01-23 09:15:00.120","2026-01-23 09:15:07.176454382",27817,0,2,2,4.05,100,0,27817,2014,"2"
"000010.SZ",20260123,91500120,"2026-01-23 09:15:00.120","2026-01-23 09:15:07.262922284",28161,0,2,2,4.04,3000,0,28161,2014,"2"
"000010.SZ",20260123,91500130,"2026-01-23 09:15:00.130","2026-01-23 09:15:07.490706362",29090,0,2,2,4.04,300,0,29090,2014,"2"
"000010.SZ",20260123,91500130,"2026-01-23 09:15:00.130","2026-01-23 09:15:07.853469634",30560,0,2,1,3.63,5000,0,30560,2014,"2"
"000010.SZ",20260123,91500130,"2026-01-23 09:15:00.130","2026-01-23 09:15:07.855426190",30563,0,2,2,3.72,10000,0,30563,2014,"2"
"000010.SZ",20260123,91500130,"2026-01-23 09:15:00.130","2026-01-23 09:15:08.076387603",31453,0,2,2,3.31,300,0,31453,2014,"2"
"000010.SZ",20260123,91500140,"2026-01-23 09:15:00.140","2026-01-23 09:15:08.225623623",32053,0,2,2,4.02,32100,0,32053,2014,"2"
"000010.SZ",20260123,91500140,"2026-01-23 09:15:00.140","2026-01-23 09:15:08.269691058",32237,0,2,2,3.67,100,0,32237,2014,"2"
"000010.SZ",20260123,91500140,"2026-01-23 09:15:00.140","2026-01-23 09:15:08.562934660",33428,0,2,2,4,200,0,33428,2014,"2"
"000010.SZ",20260123,91500150,"2026-01-23 09:15:00.150","2026-01-23 09:15:09.612537194",37364,0,2,2,3.79,31800,0,37364,2014,"2"
