"htscsecurityid","mddate","mdtime","event_ts","local_recv_ts","lastpx","highpx","lowpx","openpx","preclosepx","totalvolumetrade","totalvaluetrade","numtrades","buypricequeue","buyorderqtyqueue","sellpricequeue","sellorderqtyqueue","totalbuyqty","totalsellqty","channelno","tradingphasecode"
"000010.SZ",20260123,90948000,"2026-01-23 09:09:48.000","2026-01-23 09:09:48.162859383",0,0,0,0,3.68,0,0,0,"[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]",0,0,1014,"0"
"000010.SZ",20260123,91048000,"2026-01-23 09:10:48.000","2026-01-23 09:10:48.190507312",0,0,0,0,3.68,0,0,0,"[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]",0,0,1014,"0"
"000010.SZ",20260123,91148000,"2026-01-23 09:11:48.000","2026-01-23 09:11:48.167128159",0,0,0,0,3.68,0,0,0,"[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]",0,0,1014,"0"
"000010.SZ",20260123,91248000,"2026-01-23 09:12:48.000","2026-01-23 09:12:48.168612794",0,0,0,0,3.68,0,0,0,"[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]",0,0,1014,"0"
"000010.SZ",20260123,91348000,"2026-01-23 09:13:48.000","2026-01-23 09:13:48.311779354",0,0,0,0,3.68,0,0,0,"[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]",0,0,1014,"0"
"000010.SZ",20260123,91448000,"2026-01-23 09:14:48.000","2026-01-23 09:14:48.161261649",0,0,0,0,3.68,0,0,0,"[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]",0,0,1014,"0"
"000010.SZ",20260123,91500000,"2026-01-23 09:15:00.000","2026-01-23 09:15:00.349230575",0,0,0,0,3.68,0,0,0,"[3.66,0,0,0,0,0,0,0,0,0]","[300,0,0,0,0,0,0,0,0,0]","[3.66,0,0,0,0,0,0,0,0,0]","[300,0,0,0,0,0,0,0,0,0]",0,0,1014,"1"
"000010.SZ",20260123,91509000,"2026-01-23 09:15:09.000","2026-01-23 09:15:09.212157241",0,0,0,0,3.68,0,0,0,"[3.72,0,0,0,0,0,0,0,0,0]","[35000,0,0,0,0,0,0,0,0,0]","[3.72,0,0,0,0,0,0,0,0,0]","[35000,34700,0,0,0,0,0,0,0,0]",0,0,1014,"1"
"000010.SZ",20260123,91518000,"2026-01-23 09:15:18.000","2026-01-23 09:15:18.191252985",0,0,0,0,3.68,0,0,0,"[3.72,0,0,0,0,0,0,0,0,0]","[35000,0,0,0,0,0,0,0,0,0]","[3.72,0,0,0,0,0,0,0,0,0]","[35000,44700,0,0,0,0,0,0,0,0]",0,0,1014,"1"
"000010.SZ",20260123,91554000,"2026-01-23 09:15:54.000","2026-01-23 09:15:54.160677191",0,0,0,0,3.68,0,0,0,"[3.72,0,0,0,0,0,0,0,0,0]","[35000,0,0,0,0,0,0,0,0,0]","[3.72,0,0,0,0,0,0,0,0,0]","[35000,47700,0,0,0,0,0,0,0,0]",0,0,1014,"1"
